query,cripple,nn_seed,length_norm,alg,kernel,gamma,alpha,c,sensitivity,precision,max_in_cluster
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.40000000000000002,1.3999999999999999,0.928425357873,0.945624075767,0.953987730061
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.40000000000000002,1.5,0.928425357873,0.945624075767,0.957055214724
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.5,1.0,0.99591002045,0.996011683879,0.520449897751
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.5,1.1000000000000001,0.961145194274,0.967952907899,0.80163599182
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.5,1.2,0.962167689162,0.97145318109,0.911042944785
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.5,1.3,0.928425357873,0.945624075767,0.943762781186
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.5,1.3999999999999999,0.928425357873,0.945624075767,0.953987730061
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.5,1.5,0.928425357873,0.945624075767,0.957055214724
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.59999999999999998,1.0,0.99591002045,0.996067327356,0.540899795501
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.59999999999999998,1.1000000000000001,0.961145194274,0.967952907899,0.787321063395
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.59999999999999998,1.2,0.962167689162,0.97145318109,0.911042944785
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.59999999999999998,1.3,0.928425357873,0.945624075767,0.943762781186
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.59999999999999998,1.3999999999999999,0.928425357873,0.945624075767,0.953987730061
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.59999999999999998,1.5,0.928425357873,0.945624075767,0.957055214724
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.69999999999999996,1.0,0.994887525562,0.995130976726,0.537832310838
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.69999999999999996,1.1000000000000001,0.961145194274,0.967952907899,0.779141104294
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.69999999999999996,1.2,0.962167689162,0.97145318109,0.912065439673
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.69999999999999996,1.3,0.928425357873,0.94662438707,0.945807770961
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.69999999999999996,1.3999999999999999,0.928425357873,0.945176307861,0.952965235174
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.69999999999999996,1.5,0.928425357873,0.945176307861,0.956032719836
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.80000000000000004,1.0,0.9918200409,0.992298409934,0.530674846626
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.80000000000000004,1.1000000000000001,0.962167689162,0.968573001573,0.79345603272
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.80000000000000004,1.2,0.963190184049,0.97202690732,0.910020449898
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.80000000000000004,1.3,0.928425357873,0.94636661525,0.945807770961
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.80000000000000004,1.3999999999999999,0.928425357873,0.944504335901,0.951942740286
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.80000000000000004,1.5,0.928425357873,0.944504335901,0.955010224949
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.89999999999999991,1.0,0.988752556237,0.989705335564,0.507157464213
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.89999999999999991,1.1000000000000001,0.953987730061,0.963060474846,0.799591002045
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.89999999999999991,1.2,0.91308793456,0.938839881468,0.898773006135
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.89999999999999991,1.3,0.927402862986,0.945650582415,0.944785276074
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.89999999999999991,1.3999999999999999,0.927402862986,0.943406737774,0.950920245399
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,0.89999999999999991,1.5,0.927402862986,0.943406737774,0.953987730061
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,1.0,1.0,0.988752556237,0.989416997279,0.515337423313
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,1.0,1.1000000000000001,0.947852760736,0.957600545331,0.802658486708
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,1.0,1.2,0.91308793456,0.938839881468,0.899795501022
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,1.0,1.3,0.927402862986,0.945650582415,0.944785276074
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,1.0,1.3999999999999999,0.927402862986,0.943406737774,0.949897750511
rfam75id_dinuc3000-rename,1,7,false,labelPropagation,rbf,0.5,1.0,1.5,0.927402862986,0.943406737774,0.952965235174
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.40000000000000002,1.0,0.996932515337,0.997021859551,0.505112474438
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.40000000000000002,1.1000000000000001,0.973415132924,0.976746695154,0.725971370143
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.40000000000000002,1.2,0.963190184049,0.972051207932,0.88036809816
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.40000000000000002,1.3,0.945807770961,0.961520279679,0.944785276074
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.40000000000000002,1.3999999999999999,0.945807770961,0.96045495078,0.950920245399
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.40000000000000002,1.5,0.945807770961,0.96045495078,0.958077709611
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.5,1.0,0.997955010225,0.997995108064,0.49591002045
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.5,1.1000000000000001,0.994887525562,0.995162777937,0.724948875256
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.5,1.2,0.959100204499,0.968268392958,0.882413087935
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.5,1.3,0.944785276074,0.961050296737,0.945807770961
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.5,1.3999999999999999,0.944785276074,0.961050296737,0.953987730061
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.5,1.5,0.944785276074,0.961050296737,0.960122699387
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.59999999999999998,1.0,0.996932515337,0.997021859551,0.511247443763
rfam75id_dinuc3000-rename,1,7,true,labelSpreading,rbf,0.5,0.59999999999999998,1.1000000000000001,0.993865030675,0.994157172071,0.729038854806
